interação: 0
1 1 1 1 4 
1 2 1 1 1 
1 1 1 1 4 
0 0 1 1 1 
1 4 1 0 4 
----------------------------------------
interação: 1
1 2 1 1 4 
2 2 2 1 1 
1 2 1 1 4 
0 0 1 1 1 
1 4 1 0 4 
----------------------------------------
interação: 2
2 2 2 1 4 
2 3 2 2 1 
2 2 2 1 4 
0 0 1 1 1 
1 4 1 0 4 
----------------------------------------
interação: 3
2 3 2 2 4 
3 3 3 2 2 
2 3 2 2 4 
0 0 2 1 1 
1 4 1 0 4 
----------------------------------------
interação: 4
3 3 3 2 4 
3 3 3 3 2 
3 3 3 2 4 
0 0 2 2 1 
1 4 2 0 4 
----------------------------------------
interação: 5
3 3 3 3 4 
3 3 3 3 3 
3 3 3 3 4 
0 0 3 2 2 
1 4 2 0 4 
----------------------------------------
interação: 6
3 3 3 3 4 
3 3 3 3 3 
3 3 3 3 4 
0 0 3 3 2 
1 4 3 0 4 
----------------------------------------
interação: 7
3 3 3 3 4 
3 3 3 3 3 
3 3 3 3 4 
0 0 3 3 3 
1 0 1 0 4 
----------------------------------------
Animal sobreviveu
Animal na posição: (4, 1)
Passos: 2, Encontrou água: 1
O vento estava ativo nas direções:
 Sul
 Norte
 Leste
 Oeste

----------------------------------------
